Товар,,,,,,,Статус,Готов к выдаче,Забрали,Истёк срок хранения,Информация,,,,,ПВЗ,
Бренд,Предмет,Баркод,Артикул WB,Штрихкод,Стикер,КИЗ,,,,,Тип,Дата заказа,Причина,Номер сборочного задания,Srid,Адрес,ID
ADRIANA LENTO,Тюль,2040681266430,244447257,53534704957,43555768210,,Выдано,2026-05-07 09:35:05,2026-05-12 10:34:31,,Возврат по инициативе продавца,2026-05-06,,0,de8ad070-2cdf-4da2-a0be-03980bdf6e75.17.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2040673647025,244226840,48603250037,49098298005,,Выдано,2026-05-07 09:27:49,2026-05-12 10:34:31,,Возврат по инициативе продавца,2026-05-06,,0,de8ad070-2cdf-4da2-a0be-03980bdf6e75.18.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2040673647025,244226840,48603250035,50565133718,,Выдано,2026-05-07 09:43:11,2026-05-12 10:34:31,,Возврат по инициативе продавца,2026-05-06,,0,de8ad070-2cdf-4da2-a0be-03980bdf6e75.19.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2040673646615,244226804,45424441326,43690424163,,Выдано,2026-05-08 10:09:42,2026-05-12 10:34:31,,Возврат по инициативе продавца,2026-05-06,,0,de8ad070-2cdf-4da2-a0be-03980bdf6e75.2.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2040673647643,244226644,52817439946,50644506343,,Выдано,2026-05-07 19:08:09,2026-05-12 10:34:31,,Возврат по инициативе продавца,2026-05-06,,0,de8ad070-2cdf-4da2-a0be-03980bdf6e75.20.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2040673647643,244226644,53023521589,52088598848,,Выдано,2026-05-08 17:27:42,2026-05-12 10:34:31,,Возврат по инициативе продавца,2026-05-06,,0,de8ad070-2cdf-4da2-a0be-03980bdf6e75.21.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2040673647377,244226850,49577749072,47348629785,,Выдано,2026-05-08 17:18:46,2026-05-12 10:34:31,,Возврат по инициативе продавца,2026-05-06,,0,de8ad070-2cdf-4da2-a0be-03980bdf6e75.22.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2040673647377,244226850,49577755120,47348629789,,Выдано,2026-05-08 17:19:15,2026-05-12 10:34:31,,Возврат по инициативе продавца,2026-05-06,,0,de8ad070-2cdf-4da2-a0be-03980bdf6e75.23.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2040673647476,244226797,48646929939,44239299610,,Выдано,2026-05-07 12:17:26,2026-05-12 10:34:31,,Возврат по инициативе продавца,2026-05-06,,0,de8ad070-2cdf-4da2-a0be-03980bdf6e75.24.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2040673647476,244226797,44855209553,47434292141,,Выдано,2026-05-08 10:16:26,2026-05-12 10:34:31,,Возврат по инициативе продавца,2026-05-06,,0,de8ad070-2cdf-4da2-a0be-03980bdf6e75.25.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2050187250185,937740943,53228978062,51542053938,,Выдано,2026-05-08 10:26:03,2026-05-12 10:34:31,,Возврат по инициативе продавца,2026-05-06,,0,de8ad070-2cdf-4da2-a0be-03980bdf6e75.26.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2050187250185,937740943,53228978063,51542053932,,Выдано,2026-05-08 10:40:17,2026-05-12 10:34:31,,Возврат по инициативе продавца,2026-05-06,,0,de8ad070-2cdf-4da2-a0be-03980bdf6e75.27.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2040673646929,244226871,48060727870,48971304933,,Выдано,2026-05-07 09:28:12,2026-05-12 10:34:31,,Возврат по инициативе продавца,2026-05-06,,0,de8ad070-2cdf-4da2-a0be-03980bdf6e75.28.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2040673646929,244226871,48421829574,48971304929,,Выдано,2026-05-07 09:25:58,2026-05-12 10:34:31,,Возврат по инициативе продавца,2026-05-06,,0,de8ad070-2cdf-4da2-a0be-03980bdf6e75.29.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2040673646615,244226804,45467619274,43706488233,,Выдано,2026-05-08 10:09:05,2026-05-12 10:34:31,,Возврат по инициативе продавца,2026-05-06,,0,de8ad070-2cdf-4da2-a0be-03980bdf6e75.3.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2040673646615,244226804,45467619284,43706488245,,Выдано,2026-05-08 10:12:22,2026-05-12 10:34:31,,Возврат по инициативе продавца,2026-05-06,,0,de8ad070-2cdf-4da2-a0be-03980bdf6e75.4.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2040673646615,244226804,40602631064,48613715837,,Выдано,2026-05-07 11:28:08,2026-05-12 10:34:31,,Возврат по инициативе продавца,2026-05-06,,0,de8ad070-2cdf-4da2-a0be-03980bdf6e75.5.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2040673647483,244226775,50068453548,49112807587,,Выдано,2026-05-08 10:38:55,2026-05-12 10:34:31,,Возврат по инициативе продавца,2026-05-06,,0,de8ad070-2cdf-4da2-a0be-03980bdf6e75.6.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2040673647483,244226775,50361426896,49112807311,,Выдано,2026-05-08 10:09:50,2026-05-12 10:34:31,,Возврат по инициативе продавца,2026-05-06,,0,de8ad070-2cdf-4da2-a0be-03980bdf6e75.7.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2040673647483,244226775,50677506085,49112807319,,Выдано,2026-05-08 10:09:58,2026-05-12 10:34:31,,Возврат по инициативе продавца,2026-05-06,,0,de8ad070-2cdf-4da2-a0be-03980bdf6e75.8.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2040673646936,244226693,46794778789,47340948871,,Выдано,2026-05-08 10:40:07,2026-05-12 10:34:31,,Возврат по инициативе продавца,2026-05-06,,0,de8ad070-2cdf-4da2-a0be-03980bdf6e75.9.0,"Тверь, Улица Вагжанова 21",211256
VELO MONTI VERONA,Тюль,2040768277007,246980354,53039308010,50475202143,,Выдано,2026-05-09 16:59:11,2026-05-12 10:34:31,,Возврат по инициативе продавца,2026-05-08,,0,e1ba3e0c-0ef3-4fab-967a-91c1aa6f60e1.0.0,"Тверь, Улица Вагжанова 21",211256
VELO MONTI VERONA,Тюль,2040768277007,246980354,53039308011,50475202147,,Выдано,2026-05-09 16:57:57,2026-05-12 10:34:31,,Возврат по инициативе продавца,2026-05-08,,0,e1ba3e0c-0ef3-4fab-967a-91c1aa6f60e1.1.0,"Тверь, Улица Вагжанова 21",211256
VELO MONTI VERONA,Тюль,2040768277007,246980354,53306802778,52088707015,,Выдано,2026-05-10 09:02:17,2026-05-12 10:34:31,,Возврат по инициативе продавца,2026-05-08,,0,e1ba3e0c-0ef3-4fab-967a-91c1aa6f60e1.2.0,"Тверь, Улица Вагжанова 21",211256
VELO MONTI MILANO,Тюль,2040737560680,246094526,41367004757,38041689633,,Выдано,2026-05-11 12:16:54,2026-05-12 10:34:31,,Возврат по инициативе продавца,2026-05-08,,0,e1ba3e0c-0ef3-4fab-967a-91c1aa6f60e1.3.0,"Тверь, Улица Вагжанова 21",211256
VELO MONTI MILANO,Тюль,2040737560680,246094526,41367004756,45617627851,,Выдано,2026-05-11 12:27:43,2026-05-12 10:34:31,,Возврат по инициативе продавца,2026-05-08,,0,e1ba3e0c-0ef3-4fab-967a-91c1aa6f60e1.4.0,"Тверь, Улица Вагжанова 21",211256
VELO MONTI MILANO,Тюль,2040737560277,246094466,49792019983,46874779301,,Выдано,2026-05-10 08:42:53,2026-05-12 10:34:31,,Возврат по инициативе продавца,2026-05-08,,0,e1ba3e0c-0ef3-4fab-967a-91c1aa6f60e1.5.0,"Тверь, Улица Вагжанова 21",211256
VELO MONTI MILANO,Тюль,2040737560277,246094466,49792019994,46874779297,,Выдано,2026-05-10 08:41:03,2026-05-12 10:34:31,,Возврат по инициативе продавца,2026-05-08,,0,e1ba3e0c-0ef3-4fab-967a-91c1aa6f60e1.6.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA CASA,Шторы интерьерные,2044039074975,420226037,53653816872,32290365096,,Выдано,2026-05-17 08:58:08,2026-05-18 16:39:59,,Возврат брака,2026-05-13,,0,9a55b16512c7427a8c6746a7c90a62d0,"Тверь, Улица Вагжанова 21",211256
ADRIANA VIVO,Тюль,2039755197428,220985979,53616197525,49829035598,,Выдано,2026-05-15 17:05:26,2026-05-18 16:39:59,,Возврат брака,2026-05-14,,0,9deb939553c24d31877bf384f5c4a5d7,"Тверь, Улица Вагжанова 21",211256
ADRIANA LENTO,Тюль,2040681266119,244447355,53329461917,50606995074,,Выдано,2026-05-15 09:13:58,2026-05-18 16:39:59,,Возврат по инициативе продавца,2026-05-14,,0,f616d319-fbc8-4740-8c4c-33df0eea2f3c.0.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA LENTO,Тюль,2040681266119,244447355,53329461920,50606995068,,Выдано,2026-05-15 09:16:27,2026-05-18 16:39:59,,Возврат по инициативе продавца,2026-05-14,,0,f616d319-fbc8-4740-8c4c-33df0eea2f3c.1.0,"Тверь, Улица Вагжанова 21",211256
VELO MONTI MILANO,Тюль,2040737560314,246094579,38387955470,47167787283,,Выдано,2026-05-15 09:24:56,2026-05-18 16:39:59,,Возврат по инициативе продавца,2026-05-14,,0,f616d319-fbc8-4740-8c4c-33df0eea2f3c.10.0,"Тверь, Улица Вагжанова 21",211256
VELO MONTI MILANO,Тюль,2040737560314,246094579,38387955473,47167787287,,Выдано,2026-05-15 09:24:30,2026-05-18 16:39:59,,Возврат по инициативе продавца,2026-05-14,,0,f616d319-fbc8-4740-8c4c-33df0eea2f3c.11.0,"Тверь, Улица Вагжанова 21",211256
VELO MONTI VERONA,Тюль,2040768276192,246980226,35943330723,30083852551,,Выдано,2026-05-16 09:49:27,2026-05-18 16:39:59,,Возврат по инициативе продавца,2026-05-14,,0,f616d319-fbc8-4740-8c4c-33df0eea2f3c.12.0,"Тверь, Улица Вагжанова 21",211256
VELO MONTI VERONA,Тюль,2040768276192,246980226,35943330776,30083852543,,Выдано,2026-05-16 09:36:01,2026-05-18 16:39:59,,Возврат по инициативе продавца,2026-05-14,,0,f616d319-fbc8-4740-8c4c-33df0eea2f3c.13.0,"Тверь, Улица Вагжанова 21",211256
VELO MONTI VERONA,Тюль,2040769367370,247049487,42742664902,44634748383,,Выдано,2026-05-17 18:30:04,2026-05-18 16:39:59,,Возврат по инициативе продавца,2026-05-14,,0,f616d319-fbc8-4740-8c4c-33df0eea2f3c.14.0,"Тверь, Улица Вагжанова 21",211256
VELO MONTI VERONA,Тюль,2040769367370,247049487,42742664906,48577944757,,Выдано,2026-05-16 12:42:46,2026-05-18 16:39:59,,Возврат по инициативе продавца,2026-05-14,,0,f616d319-fbc8-4740-8c4c-33df0eea2f3c.15.0,"Тверь, Улица Вагжанова 21",211256
VELO MONTI MILANO,Тюль,2040737560321,246094439,53381831299,52058846768,,Выдано,2026-05-17 08:55:08,2026-05-18 16:39:59,,Возврат по инициативе продавца,2026-05-14,,0,f616d319-fbc8-4740-8c4c-33df0eea2f3c.16.0,"Тверь, Улица Вагжанова 21",211256
VELO MONTI MILANO,Тюль,2040737560321,246094439,53381831300,52058846764,,Выдано,2026-05-17 08:55:15,2026-05-18 16:39:59,,Возврат по инициативе продавца,2026-05-14,,0,f616d319-fbc8-4740-8c4c-33df0eea2f3c.17.0,"Тверь, Улица Вагжанова 21",211256
VELO MONTI MILANO,Тюль,2040747328355,246377463,37561405773,39299146989,,Выдано,2026-05-17 09:12:11,2026-05-18 16:39:59,,Возврат по инициативе продавца,2026-05-14,,0,f616d319-fbc8-4740-8c4c-33df0eea2f3c.18.0,"Тверь, Улица Вагжанова 21",211256
VELO MONTI MILANO,Тюль,2040747328355,246377463,41978622052,39299146995,,Выдано,2026-05-17 09:16:39,2026-05-18 16:39:59,,Возврат по инициативе продавца,2026-05-14,,0,f616d319-fbc8-4740-8c4c-33df0eea2f3c.19.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA LENTO,Тюль,2040681266119,244447355,53329461921,50606995070,,Выдано,2026-05-15 09:13:46,2026-05-18 16:39:59,,Возврат по инициативе продавца,2026-05-14,,0,f616d319-fbc8-4740-8c4c-33df0eea2f3c.2.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA LENTO,Тюль,2040681266119,244447355,53329461924,50606995072,,Выдано,2026-05-15 09:16:22,2026-05-18 16:39:59,,Возврат по инициативе продавца,2026-05-14,,0,f616d319-fbc8-4740-8c4c-33df0eea2f3c.3.0,"Тверь, Улица Вагжанова 21",211256
VELO MONTI MILANO,Тюль,2040737560635,246094467,53382799792,43194060125,,Выдано,2026-05-15 13:27:41,2026-05-18 16:39:59,,Возврат по инициативе продавца,2026-05-14,,0,f616d319-fbc8-4740-8c4c-33df0eea2f3c.4.0,"Тверь, Улица Вагжанова 21",211256
VELO MONTI MILANO,Тюль,2040737560635,246094467,53382799797,43194060121,,Выдано,2026-05-15 13:27:48,2026-05-18 16:39:59,,Возврат по инициативе продавца,2026-05-14,,0,f616d319-fbc8-4740-8c4c-33df0eea2f3c.5.0,"Тверь, Улица Вагжанова 21",211256
VELO MONTI VERONA,Тюль,2040768277045,246980475,48587297952,37416371037,,Выдано,2026-05-15 12:58:52,2026-05-18 16:39:59,,Возврат по инициативе продавца,2026-05-14,,0,f616d319-fbc8-4740-8c4c-33df0eea2f3c.6.0,"Тверь, Улица Вагжанова 21",211256
VELO MONTI VERONA,Тюль,2040768277045,246980475,49014203100,46967978153,,Выдано,2026-05-15 09:16:02,2026-05-18 16:39:59,,Возврат по инициативе продавца,2026-05-14,,0,f616d319-fbc8-4740-8c4c-33df0eea2f3c.7.0,"Тверь, Улица Вагжанова 21",211256
VELO MONTI MILANO,Тюль,2040737560628,246094474,53643238941,51895545966,,Выдано,2026-05-15 16:53:53,2026-05-18 16:39:59,,Возврат по инициативе продавца,2026-05-14,,0,f616d319-fbc8-4740-8c4c-33df0eea2f3c.8.0,"Тверь, Улица Вагжанова 21",211256
VELO MONTI MILANO,Тюль,2040737560628,246094474,53643238944,51895545970,,Выдано,2026-05-15 16:53:50,2026-05-18 16:39:59,,Возврат по инициативе продавца,2026-05-14,,0,f616d319-fbc8-4740-8c4c-33df0eea2f3c.9.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA FESTA,Шторы интерьерные,2048927914497,820169155,52926997058,51585205042,,Выдано,2026-05-24 09:58:13,2026-05-25 10:58:09,,Возврат по инициативе продавца,2026-05-22,,0,aeac7f47-5ace-4231-8a07-851b62b5be12.1.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA CASA,Шторы интерьерные,2038937810360,188397349,45166786586,37018332043,,Выдано,2026-05-23 17:46:46,2026-05-25 10:58:09,,Возврат по инициативе продавца,2026-05-22,,0,aeac7f47-5ace-4231-8a07-851b62b5be12.10.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA CASA,Шторы интерьерные,2038937810360,188397349,45721494712,48946849170,,Выдано,2026-05-24 09:44:22,2026-05-25 10:58:09,,Возврат по инициативе продавца,2026-05-22,,0,aeac7f47-5ace-4231-8a07-851b62b5be12.11.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA CASA,Шторы интерьерные,2038757480415,181095938,45469612743,38965726387,,Выдано,2026-05-24 09:55:00,2026-05-25 10:58:09,,Возврат по инициативе продавца,2026-05-22,,0,aeac7f47-5ace-4231-8a07-851b62b5be12.12.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA CASA,Шторы интерьерные,2038757480415,181095938,45469612747,38965726385,,Выдано,2026-05-24 09:54:32,2026-05-25 10:58:09,,Возврат по инициативе продавца,2026-05-22,,0,aeac7f47-5ace-4231-8a07-851b62b5be12.13.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA CASA,Шторы интерьерные,2038757480415,181095938,45469612748,38965726389,,Выдано,2026-05-24 09:44:11,2026-05-25 10:58:09,,Возврат по инициативе продавца,2026-05-22,,0,aeac7f47-5ace-4231-8a07-851b62b5be12.14.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA CASA,Шторы интерьерные,2044039075040,420226052,50720064902,48801119270,,Выдано,2026-05-24 15:52:45,2026-05-25 10:58:09,,Возврат по инициативе продавца,2026-05-22,,0,aeac7f47-5ace-4231-8a07-851b62b5be12.15.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA CASA,Шторы интерьерные,2044039075040,420226052,50843700001,48936909336,,Выдано,2026-05-25 12:29:48,2026-05-29 11:26:40,,Возврат по инициативе продавца,2026-05-22,,0,aeac7f47-5ace-4231-8a07-851b62b5be12.16.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA CASA,Шторы интерьерные,2043048880164,345232960,38541881978,38762489618,,Выдано,2026-05-25 09:09:42,2026-05-25 10:58:09,,Возврат по инициативе продавца,2026-05-22,,0,aeac7f47-5ace-4231-8a07-851b62b5be12.17.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA CASA,Шторы интерьерные,2043048880164,345232960,37067406132,45837551813,,Выдано,2026-05-25 09:28:18,2026-05-25 10:58:09,,Возврат по инициативе продавца,2026-05-22,,0,aeac7f47-5ace-4231-8a07-851b62b5be12.18.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA CALMA,Шторы интерьерные,2043749393079,396857416,45265176690,46348449860,,Выдано,2026-05-24 09:43:06,2026-05-25 10:58:09,,Возврат по инициативе продавца,2026-05-22,,0,aeac7f47-5ace-4231-8a07-851b62b5be12.19.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA FESTA,Шторы интерьерные,2048927914473,820169154,52926994525,51585204970,,Выдано,2026-05-24 13:09:36,2026-05-25 10:58:09,,Возврат по инициативе продавца,2026-05-22,,0,aeac7f47-5ace-4231-8a07-851b62b5be12.2.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA CALMA,Шторы интерьерные,2043749393079,396857416,48649726133,46988517637,,Выдано,2026-05-24 15:49:17,2026-05-25 10:58:09,,Возврат по инициативе продавца,2026-05-22,,0,aeac7f47-5ace-4231-8a07-851b62b5be12.20.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA CALMA,Шторы интерьерные,2043749261903,396849770,44727288123,51706973193,,Выдано,2026-05-23 17:44:14,2026-05-25 10:58:09,,Возврат по инициативе продавца,2026-05-22,,0,aeac7f47-5ace-4231-8a07-851b62b5be12.21.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA CALMA,Шторы интерьерные,2043749261903,396849770,37490729844,42931807870,,Выдано,2026-05-25 09:09:28,2026-05-25 10:58:09,,Возврат по инициативе продавца,2026-05-22,,0,aeac7f47-5ace-4231-8a07-851b62b5be12.22.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA FESTA,Шторы интерьерные,2048838837250,810348952,49725197685,47433986871,,Выдано,2026-05-24 09:53:05,2026-05-25 10:58:09,,Возврат по инициативе продавца,2026-05-22,,0,aeac7f47-5ace-4231-8a07-851b62b5be12.3.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA FESTA,Шторы интерьерные,2048917565289,818378132,53076157396,50648984097,,Выдано,2026-05-24 15:53:24,2026-05-25 10:58:09,,Возврат по инициативе продавца,2026-05-22,,0,aeac7f47-5ace-4231-8a07-851b62b5be12.4.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA CASA,Шторы интерьерные,2038757480477,181095872,50288276242,42447165538,,Выдано,2026-05-25 09:09:43,2026-05-25 10:58:09,,Возврат по инициативе продавца,2026-05-22,,0,aeac7f47-5ace-4231-8a07-851b62b5be12.5.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA CASA,Шторы интерьерные,2038757480477,181095872,50288276245,42447165542,,Выдано,2026-05-25 09:09:16,2026-05-25 10:58:09,,Возврат по инициативе продавца,2026-05-22,,0,aeac7f47-5ace-4231-8a07-851b62b5be12.6.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA CASA,Шторы интерьерные,2038757480477,181095872,50288276248,42447165536,,Выдано,2026-05-25 09:09:02,2026-05-25 10:58:09,,Возврат по инициативе продавца,2026-05-22,,0,aeac7f47-5ace-4231-8a07-851b62b5be12.7.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA CASA,Шторы интерьерные,2038757480477,181095872,50702529536,49109800112,,Выдано,2026-05-24 09:43:19,2026-05-25 10:58:09,,Возврат по инициативе продавца,2026-05-22,,0,aeac7f47-5ace-4231-8a07-851b62b5be12.8.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA CASA,Шторы интерьерные,2038937810360,188397349,45571050741,39472065501,,Выдано,2026-05-24 09:46:11,2026-05-25 10:58:09,,Возврат по инициативе продавца,2026-05-22,,0,aeac7f47-5ace-4231-8a07-851b62b5be12.9.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA LARGO,Тюль,2039755124189,220984122,44280678290,33206903646,,Выдано,2026-05-27 09:57:48,2026-05-29 11:26:40,,Возврат неверного вложения,2026-05-24,,0,WH_RO_SRN_MW.72f8e67381f94a27bb1c8ac6e9effb96,"Тверь, Улица Вагжанова 21",211256
VELO MONTI PARMA,Тюль,2040413486631,237988970,53751054824,53751054824,,Выдано,2026-05-29 08:52:13,2026-05-29 11:26:40,,Возврат брака,2026-05-24,,0,afb6ecce32264c1faae0c2f57640fe22,"Тверь, Улица Вагжанова 21",211256
VELO MONTI MILANO,Тюль,2039905558000,227786134,53559503947,50734927315,,Выдано,2026-05-27 12:43:34,2026-05-29 11:26:40,,Возврат брака,2026-05-25,,0,25483aa7d5754222b029d997b5e78a45,"Тверь, Улица Вагжанова 21",211256
ADRIANA CALMA,Шторы интерьерные,2038597423429,176487125,44331859599,47313977608,,Выдано,2026-05-27 09:58:48,2026-05-29 11:26:40,,Возврат по инициативе продавца,2026-05-25,,0,6cb2f37b-12f5-4a7f-acfc-b22fdac75b61.0.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA CALMA,Шторы интерьерные,2038597423429,176487125,50257317726,48945318250,,Выдано,2026-05-27 12:43:12,2026-05-29 11:26:40,,Возврат по инициативе продавца,2026-05-25,,0,6cb2f37b-12f5-4a7f-acfc-b22fdac75b61.1.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA STELLA,Шторы интерьерные,2038087023726,166694061,50348408104,48704368162,,Выдано,2026-05-27 09:35:52,2026-05-29 11:26:40,,Возврат по инициативе продавца,2026-05-25,,0,6cb2f37b-12f5-4a7f-acfc-b22fdac75b61.10.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA STELLA,Шторы интерьерные,2038087023726,166694061,50348408095,47269100494,,Выдано,2026-05-27 09:31:00,2026-05-29 11:26:40,,Возврат по инициативе продавца,2026-05-25,,0,6cb2f37b-12f5-4a7f-acfc-b22fdac75b61.11.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA STELLA,Шторы интерьерные,2037609033212,152016944,43587345814,46694387530,,Выдано,2026-05-27 09:51:05,2026-05-29 11:26:40,,Возврат по инициативе продавца,2026-05-25,,0,6cb2f37b-12f5-4a7f-acfc-b22fdac75b61.12.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA STELLA,Шторы интерьерные,2037609033212,152016944,43589106377,42270654892,,Выдано,2026-05-28 15:25:20,2026-05-29 11:26:40,,Возврат по инициативе продавца,2026-05-25,,0,6cb2f37b-12f5-4a7f-acfc-b22fdac75b61.13.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA CANTO,Шторы интерьерные,2040191803989,234407519,26594590228,42672474714,,Выдано,2026-05-27 09:54:22,2026-05-29 11:26:40,,Возврат по инициативе продавца,2026-05-25,,0,6cb2f37b-12f5-4a7f-acfc-b22fdac75b61.14.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA CANTO,Шторы интерьерные,2040191803989,234407519,26592628405,26141841645,,Выдано,2026-05-27 09:59:47,2026-05-29 11:26:40,,Возврат по инициативе продавца,2026-05-25,,0,6cb2f37b-12f5-4a7f-acfc-b22fdac75b61.15.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA STELLA,Шторы интерьерные,2037609055047,152018242,40109786649,34558709125,,Выдано,2026-05-27 09:53:43,2026-05-29 11:26:40,,Возврат по инициативе продавца,2026-05-25,,0,6cb2f37b-12f5-4a7f-acfc-b22fdac75b61.16.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA STELLA,Шторы интерьерные,2037609055047,152018242,40109786654,34557592459,,Выдано,2026-05-27 09:54:33,2026-05-29 11:26:40,,Возврат по инициативе продавца,2026-05-25,,0,6cb2f37b-12f5-4a7f-acfc-b22fdac75b61.17.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA CANTO,Шторы интерьерные,2040191803842,234407503,46535629586,35413339057,,Выдано,2026-05-27 10:30:54,2026-05-29 11:26:40,,Возврат по инициативе продавца,2026-05-25,,0,6cb2f37b-12f5-4a7f-acfc-b22fdac75b61.18.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA CANTO,Шторы интерьерные,2040191803842,234407503,41749518683,50420983517,,Выдано,2026-05-28 09:51:02,2026-05-29 11:26:40,,Возврат по инициативе продавца,2026-05-25,,0,6cb2f37b-12f5-4a7f-acfc-b22fdac75b61.19.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA CALMA,Шторы интерьерные,2038597423429,176487125,50227864042,50506947267,,Выдано,2026-05-27 12:07:25,2026-05-29 11:26:40,,Возврат по инициативе продавца,2026-05-25,,0,6cb2f37b-12f5-4a7f-acfc-b22fdac75b61.2.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA CALMA,Шторы интерьерные,2038597725530,176496525,42977682438,37237153725,,Выдано,2026-05-28 10:10:37,2026-05-29 11:26:40,,Возврат по инициативе продавца,2026-05-25,,0,6cb2f37b-12f5-4a7f-acfc-b22fdac75b61.20.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA CALMA,Шторы интерьерные,2038597725530,176496525,42751427459,37159376559,,Выдано,2026-05-27 10:32:40,2026-05-29 11:26:40,,Возврат по инициативе продавца,2026-05-25,,0,6cb2f37b-12f5-4a7f-acfc-b22fdac75b61.21.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA CALMA,Шторы интерьерные,2043749262320,396849807,49567657115,46981110220,,Выдано,2026-05-27 09:36:50,2026-05-29 11:26:40,,Возврат по инициативе продавца,2026-05-25,,0,6cb2f37b-12f5-4a7f-acfc-b22fdac75b61.22.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA CALMA,Шторы интерьерные,2038597273321,176482208,36058242183,31789509392,,Выдано,2026-05-27 11:57:18,2026-05-29 11:26:40,,Возврат по инициативе продавца,2026-05-25,,0,6cb2f37b-12f5-4a7f-acfc-b22fdac75b61.23.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA CALMA,Шторы интерьерные,2038597273321,176482208,40308765969,32951983616,,Выдано,2026-05-27 09:31:25,2026-05-29 11:26:40,,Возврат по инициативе продавца,2026-05-25,,0,6cb2f37b-12f5-4a7f-acfc-b22fdac75b61.24.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA CALMA,Шторы интерьерные,2038597273437,176482124,50613845851,48818852903,,Выдано,2026-05-27 09:30:47,2026-05-29 11:26:40,,Возврат по инициативе продавца,2026-05-25,,0,6cb2f37b-12f5-4a7f-acfc-b22fdac75b61.3.0,"Тверь, Улица Вагжанова 21",211256
