Товар,,,,,,,Статус,Готов к выдаче,Забрали,Истёк срок хранения,Информация,,,,,ПВЗ,
Бренд,Предмет,Баркод,Артикул WB,Штрихкод,Стикер,КИЗ,,,,,Тип,Дата заказа,Причина,Номер сборочного задания,Srid,Адрес,ID
ADRIANA ADAGIO,Тюль,2037545280091,149410081,51293573838,49491193361,,Выдано,2026-04-02 12:44:26,2026-04-03 11:28:53,,"Возврат товара, который приехал по МП, продавцу",2026-03-26,,4787585520,mp.6f8b5ec89089453fac289e2f7076dae1.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2040673645861,244226769,51731941912,46288570888,,Выдано,2026-03-29 09:36:41,2026-03-31 11:51:30,,"Возврат товара, который приехал по МП, продавцу",2026-03-26,,4818860433,mp.74fe31ce54fe4b7ca688046d62f88f1b.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI VERONA,Тюль,2040768277182,246980006,51640749782,48889509751,,Выдано,2026-03-30 17:04:45,2026-03-31 11:51:30,,"Возврат товара, который приехал по МП, продавцу",2026-03-26,,4813208651,mp.773d062ab989439291eedb0c067661f0.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2037545280091,149410081,51293573816,49491193369,,Выдано,2026-04-02 12:43:26,2026-04-03 11:28:53,,"Возврат товара, который приехал по МП, продавцу",2026-03-26,,4787585518,mp.7bb2c48694894405a1cd2537a3ad27f0.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA CASA,Шторы интерьерные,2043048880256,345232969,51639431252,47375265169,,Выдано,2026-03-30 09:45:31,2026-03-31 11:51:30,,"Возврат товара, который приехал по МП, продавцу",2026-03-26,,4812494386,mp.877bb60559b54c22a25eafd1496770b4.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI VERONA,Тюль,2039900617993,227577915,51555548788,50469023763,,Выдано,2026-03-31 15:55:50,2026-04-03 11:28:53,,"Возврат товара, который приехал по МП, продавцу",2026-03-26,,4809391609,mp.8bc1aed535eb440cb2f70840d466fb41.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2040673647100,244226701,51640749864,48889509755,,Выдано,2026-03-30 17:04:36,2026-03-31 11:51:30,,"Возврат товара, который приехал по МП, продавцу",2026-03-26,,4813208733,mp.96bf90cc12be40a5ad29f97101301ca9.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA CASA,Шторы интерьерные,2043048880126,345232956,51640424952,47172719896,,Выдано,2026-03-28 15:46:47,2026-03-31 11:51:30,,"Возврат товара, который приехал по МП, продавцу",2026-03-26,,4812883729,mp.bf5ddbc2fa6d47248dcee0630c58452a.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2040673645861,244226769,51731941911,46288570892,,Выдано,2026-03-29 09:30:47,2026-03-31 11:51:30,,"Возврат товара, который приехал по МП, продавцу",2026-03-26,,4818860432,mp.d157119f604b452b8b6d4557f5c68b61.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2037545280091,149410081,51293573841,49491193365,,Выдано,2026-04-02 12:44:42,2026-04-03 11:28:53,,"Возврат товара, который приехал по МП, продавцу",2026-03-26,,4787585522,mp.d4418d0a324e48f799a8aefe2d415f18.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA VIVO,Тюль,2039755198081,220985827,51663593075,51663593075,,Выдано,2026-04-03 15:21:08,2026-04-06 11:17:24,,"Возврат товара, который приехал по МП, продавцу",2026-03-26,,4814757947,mp.da5962beeb404dc585f2e540d3a2faf6.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA CASA,Шторы интерьерные,2044039075125,420226068,51321862246,50468376062,,Выдано,2026-03-30 17:26:44,2026-03-31 11:51:30,,"Возврат товара, который приехал по МП, продавцу",2026-03-26,,4792129145,mp.db6c16a3c24c45de8523fdcb091c3bf8.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA CASA,Шторы интерьерные,2044039075262,420226091,51473847774,47427197440,,Выдано,2026-03-31 09:29:26,2026-03-31 11:51:30,,"Возврат товара, который приехал по МП, продавцу",2026-03-26,,4804540354,mp.e4b211187a6840089a1e0a14053e608c.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LARGO,Тюль,2039755123700,220984095,51321956939,48791325592,,Выдано,2026-03-29 09:42:52,2026-03-31 11:51:30,,"Возврат товара, который приехал по МП, продавцу",2026-03-27,,4792223884,mp.297c0a90e73f45a8ab1765c63a099a5b.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI PARMA,Тюль,2040413487010,237988789,43123218062,43123218062,,Выдано,2026-04-01 12:37:44,2026-04-03 11:28:53,,"Возврат товара, который приехал по МП, продавцу",2026-03-27,,4809050808,mp.4774cd757f6c481c9630d6a0fceea96c.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2020406193043,63233617,50973514540,50508410913,,Выдано,2026-04-01 12:53:01,2026-04-03 11:28:53,,"Возврат товара, который приехал по МП, продавцу",2026-03-27,,4762715328,mp.8370199a0517400ea64d5e3aaa98104d.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA VIVO,Тюль,2039755196148,220985981,51551759926,47147186285,,Выдано,2026-03-30 09:06:55,2026-03-31 11:51:30,,"Возврат товара, который приехал по МП, продавцу",2026-03-27,,4806102016,mp.870fa9b6e1714ffb99dc4cbb0c9219df.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA DONNA,Шторы интерьерные,2040861194386,250207908,51718137936,42793563865,,Выдано,2026-03-28 11:33:28,2026-03-31 11:51:30,,"Возврат товара, который приехал по МП, продавцу",2026-03-27,,4815756952,mp.a0c1c310bce34eacba367e0b2ddc6640.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA CASA,Шторы интерьерные,2043048879915,345232934,51634753935,50349046843,,Выдано,2026-04-01 09:38:15,2026-04-03 11:28:53,,"Возврат товара, который приехал по МП, продавцу",2026-03-27,,4811202778,mp.b364aa1eb72f4341b6d54a656f6c6dcc.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2042471140623,117934204,51730796661,50414931545,,Выдано,2026-04-01 17:12:44,2026-04-03 11:28:53,,"Возврат товара, который приехал по МП, продавцу",2026-03-27,,4818365000,mp.c92a42b1ad0d4be99794a0d75c6aff9d.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2020533507010,63480996,51358174455,50729631480,,Выдано,2026-04-01 09:48:52,2026-04-03 11:28:53,,"Возврат товара, который приехал по МП, продавцу",2026-03-27,,4796204671,mp.d2a776e9427a4ae4bffedc438c3bd4d7.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2020406193043,63233617,50973514542,50508410909,,Выдано,2026-04-01 12:55:04,2026-04-03 11:28:53,,"Возврат товара, который приехал по МП, продавцу",2026-03-27,,4762715329,mp.dc645d6fcb044ba2abfc03be27d15750.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA DONNA,Шторы интерьерные,2040848774853,249850134,51351245939,48809433086,,Выдано,2026-03-29 11:24:15,2026-03-31 11:51:30,,"Возврат товара, который приехал по МП, продавцу",2026-03-27,,4794636116,mp.e844de41fc22424eb8fb1a83da7c56d5.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2020383265016,63200845,51358173257,50729631488,,Выдано,2026-04-01 09:50:10,2026-04-03 11:28:53,,"Возврат товара, который приехал по МП, продавцу",2026-03-27,,4796203471,mp.eb900b70026849ba85ddfa9ae4d43707.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI ROMA,Тюль,2040639722797,243085409,51719086428,49041966808,,Выдано,2026-03-30 08:56:20,2026-03-31 11:51:30,,"Возврат товара, который приехал по МП, продавцу",2026-03-28,,4816707401,mp.06dda52190bf454c8cb9ca611ab9b54a.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI ROMA,Тюль,2040599653919,242077980,51784168333,46980894209,,Выдано,2026-03-31 08:51:40,2026-03-31 11:51:30,,"Возврат товара, который приехал по МП, продавцу",2026-03-28,,4825731225,mp.31acffc655944d34a141ac5dbb15e2eb.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI MILANO,Тюль,2040747328362,246377473,51635267121,50473184971,,Выдано,2026-03-31 15:51:19,2026-04-03 11:28:53,,"Возврат товара, который приехал по МП, продавцу",2026-03-28,,4811716227,mp.438fd65cffdc4bdab01ea772d12207f0.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI MILANO,Тюль,2039905557638,227786210,51469282761,50651084836,,Выдано,2026-04-01 10:13:46,2026-04-03 11:28:53,,"Возврат товара, который приехал по МП, продавцу",2026-03-28,,4804234090,mp.4cabccf92b3e498581a24242749bf5bc.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA CASA,Шторы интерьерные,2044039075552,420226113,51634559133,50691000924,,Выдано,2026-04-01 09:37:54,2026-04-03 11:28:53,,"Возврат товара, который приехал по МП, продавцу",2026-03-28,,4811007827,mp.4f87ff87bb2d402d940435969c9d13c8.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI MILANO,Тюль,2040747328362,246377473,51635267124,50473184991,,Выдано,2026-03-31 15:53:20,2026-04-03 11:28:53,,"Возврат товара, который приехал по МП, продавцу",2026-03-28,,4811716231,mp.9b2e7808338146a4b1303ad580314548.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA FESTA,Шторы интерьерные,2048838837076,810348931,51696117690,50528358069,,Выдано,2026-03-30 09:42:16,2026-03-31 11:51:30,,"Возврат товара, который приехал по МП, продавцу",2026-03-28,,4815254850,mp.9b2e8feb86e14aa1ada6aa424eb092dc.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI MILANO,Тюль,2040737561755,246094498,51740595938,50686553019,,Выдано,2026-03-31 16:04:56,2026-04-03 11:28:53,,"Возврат товара, который приехал по МП, продавцу",2026-03-28,,4820013970,mp.a5c7ab172ae8443ab2ffca3c25833516.r,"Тверь, Улица Вагжанова 21",211256
